"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2025","1,067.92","1,067.73","1,069.66","1,067.32","","0.08%"
"04/17/2025","1,067.07","1,061.12","1,068.18","1,058.04","","0.75%"
"04/16/2025","1,059.10","1,069.29","1,069.31","1,054.83","","-1.04%"
"04/15/2025","1,070.26","1,060.95","1,071.18","1,060.27","","0.95%"
"04/14/2025","1,060.22","1,049.59","1,061.83","1,049.59","","1.44%"
"04/11/2025","1,045.20","1,030.63","1,050.10","1,024.47","","1.59%"
"04/10/2025","1,028.86","1,002.38","1,035.39","1,002.38","","3.56%"
"04/09/2025","993.45","1,000.19","1,001.59","982.57","","-0.91%"
"04/08/2025","1,002.60","1,002.58","1,008.51","993.08","","0.11%"
"04/07/2025","1,001.49","1,077.25","1,077.25","996.05","","-7.92%"
"04/04/2025","1,087.59","1,103.43","1,107.34","1,082.60","","-1.38%"
"04/03/2025","1,102.78","1,108.55","1,110.47","1,101.12","","-0.80%"
"04/02/2025","1,111.68","1,110.45","1,113.44","1,107.85","","0.09%"
"04/01/2025","1,110.66","1,102.01","1,114.68","1,102.01","","0.84%"
"03/31/2025","1,101.40","1,119.13","1,119.13","1,100.37","","-1.72%"
"03/28/2025","1,120.72","1,130.43","1,130.43","1,119.49","","-0.87%"
"03/27/2025","1,130.54","1,131.06","1,132.52","1,124.27","","-0.09%"
"03/26/2025","1,131.54","1,130.26","1,135.27","1,130.00","","0.19%"
"03/25/2025","1,129.41","1,136.38","1,139.03","1,128.14","","-0.58%"
"03/24/2025","1,136.01","1,130.51","1,137.72","1,128.20","","0.41%"
"03/21/2025","1,131.38","1,140.39","1,140.63","1,129.74","","-0.82%"
"03/20/2025","1,140.69","1,143.56","1,148.09","1,137.88","","-0.23%"
"03/19/2025","1,143.29","1,145.34","1,146.82","1,140.94","","-0.16%"
"03/18/2025","1,145.17","1,132.34","1,146.42","1,132.34","","1.21%"